forerunnerbranded,1
been,1
projects,1
smartphone,1
year,3
reflected,1
owners,1
areas,1
these,1
firm,1
ongoing,1
appreciate,2
noticeably,2
annual,1
vivofit,1
near,1
volkswagen,1
recent,3
released,2
goals,1
11,1
models,1
solid,2
thus,1
15,1
devices,2
old,1
remain,1
july,1
holographic,1
forecast,1
personal,1
them,1
an,2
capitalize,1
as,5
at,2
magnified,1
deals,1
wristworn,1
looking,1
firms,1
20,1
monitors,1
22,1
average,1
strong,2
be,2
29,1
comes,1
smartwatches,1
turn,1
battery,1
proving,1
seen,1
example,2
shares,7
into,1
current,1
same,1
systems,1
are,3
unlike,1
by,2
dividend,1
broader,2
operating,1
sp,2
close,1
a,11
35,1
overshadowing,1
business,8
emergence,1
one,2
the,28
meet,1
upside,1
unprecedented,1
emerge,1
to,11
fashion,1
quarter,3
but,2
admits,1
had,1
remains,2
down,1
bet,2
features,1
generated,1
prior,1
fitness,5
continue,3
segment,2
has,5
up,2
us,1
which,3
offers,1
watches,1
last,2
poised,1
this,2
its,15
gps,6
opt,1
outperformed,1
higher,2
however,1
income,1
some,2
buyers,2
rather,2
for,6
wearables,2
primarily,1
expects,1
stocks,1
propel,1
burgeoning,1
engine,1
interest,2
rate,1
company,1
every,1
early,1
news,1
79,1
outperform,1
recently,1
quarters,1
multiple,1
expands,1
with,4
oneyear,1
although,2
500,2
management,2
2014,1
hud,1
yields,1
short,5
time,2
pays,1
profitability,1
american,1
investors,1
years,1
enthusiasts,1
navigation,2
hook,1
largely,1
far,1
price,2
decling,1
decline,1
if,5
promising,1
likely,2
wearable,2
in,14
standalone,1
resilient,1
is,3
aimed,1
shorted,1
cars,1
chrysler,1
system,1
garmin,14
defy,1
foreseeable,1
bulk,1
sellers,4
primary,1
other,4
against,1
range,1
emerged,1
products,3
vehicle,1
capacity,1
segments,2
feature,1
steadily,1
have,4
sending,1
share,1
reward,1
include,1
particularly,1
lifein,1
gpsmaker,1
shareholders,2
could,10
more,1
health,1
positive,1
wrong,1
excel,1
help,1
future,2
return,2
trackers,1
capital,1
almost,1
several,1
begun,1
while,1
losses,1
sales,3
second,1
that,5
high,2
hit,1
major,1
than,3
garmins,12
should,1
limit,1
from,2
stock,4
potential,1
all,1
new,3
including,1
months,1
gross,1
includes,1
positions,1
basis,2
heart,1
solely,1
relevant,2
market,3
most,1
core,1
directions,1
keep,2
focused,2
automotive,2
seems,1
who,1
no,1
equipped,1
their,3
turnbyturn,1
appears,2
best,1
units,1
around,1
can,3
total,2
computing,1
declining,1
challenged,1
car,2
and,7
companys,1
of,12
make,1
profit,1
on,7
allows,1
process,2
move,1
match,1
saw,1
impressive,1
heavily,1
posting,1
any,1
ultimately,1
critics,1
performance,1
currently,3
growth,4
category,1
