quarterthe,1
bad,1
year,1
japan,1
led,1
would,1
surged,1
raises,1
above,1
yearthis,1
released,1
collectionthe,1
they,1
jump,2
10,1
11,2
13,1
margin,2
14,1
15,1
excellent,1
noting,1
forecast,1
fullyear,3
an,2
demand,1
morning,4
fullyearoutlookmaggie,1
1,2
as,3
reiterating,1
125,1
5,1
aaron,1
6,1
7,1
boost,1
20,1
strong,3
increased,3
conference,1
fact,1
automatically,1
yellow,1
ceo,1
proving,1
373,1
result,1
shares,3
pieces,1
into,1
same,2
are,3
by,4
reported,2
valentines,1
wednesday,5
jeweler,2
currency,1
expectations,1
operating,1
boosted,1
so,1
compared,2
a,14
vice,1
beating,1
retailer,1
one,1
cents,5
co,2
accelerated,1
reiterated,1
march,1
the,31
consensus,2
actually,1
call,1
increasing,1
to,12
relations,1
41,1
storms,1
did,1
quarter,5
resulted,1
but,1
47,1
strength,1
prioryear,3
good,1
tif,1
japanese,2
1256,1
prior,1
arent,1
953,1
excluding,1
things,1
835,1
helped,1
tiffany,7
50,1
up,3
has,1
results,7
those,1
us,1
last,1
jewelers,1
its,7
significant,1
collection,1
once,1
success,1
higher,2
65,1
little,1
income,1
analysts,1
some,2
for,5
we,2
174,1
expanded,1
interest,1
street,1
kowalski,1
statement,2
diamondssales,1
company,3
72,1
broadbased,1
tank,1
early,1
over,2
77,1
figure,1
quarters,3
start,1
was,1
beats,1
northeast,1
consumption,2
michael,1
noted,1
with,2
2014,1
2013,3
well,1
analyst,1
initially,1
time,2
significantly,1
he,1
outlook,1
061s,1
enjoyed,1
mark,2
president,1
very,2
atlas,2
release,1
japandue,1
investors,1
april,2
doesnt,1
earningsfollowing,1
thanks,1
improved,1
collections,4
weather,1
decline,1
anticipated,1
lowercost,3
per,7
97,1
encouraging,1
period,1
in,22
is,4
tiffanys,2
million,4
spot,1
jewelrydespite,1
silver,1
regions,1
bright,1
range,1
our,4
retail,1
sparkling,1
across,1
have,1
415,1
share,7
theme,1
categories,1
ability,1
product,1
particularly,2
more,2
stores,1
continued,1
chairman,1
mcgrathtiffany,1
earnings,8
425,1
report,1
pleased,1
rose,1
tradingtiffany,1
first,3
diamonds,2
constant,1
while,1
experience,1
sales,10
that,8
revenue,2
hit,2
fine,2
than,3
only,1
beat,1
worldwide,1
from,4
net,5
day,1
retailers,1
jewelry,2
raising,1
new,1
executives,1
gross,1
drove,1
exceptionally,1
tax,2
basis,1
affected,1
both,1
most,1
562,1
fiscal,1
were,4
snow,1
shining,1
nonetheless,1
pretax,1
expenses,1
samestore,1
popping,1
diluted,1
leverage,1
jumping,1
line,1
their,1
billion,1
and,18
of,13
consumers,2
colored,1
said,3
profit,2
on,2
surging,1
or,1
also,1
increase,1
yeartodate,1
582,1
expensive,1
investor,1
declined,1
currently,1
growth,4
